id,phrase,englishMeaning,englishSentence,correctGermanSentence,wrongGermanSentence,example
abbitte-die-abbitte-leisten-leisten,Abbitte leisten,to apologize formally,The manager apologized formally after the mistake.,Der Leiter leistete nach dem Fehler Abbitte.,Der Leiter machte nach dem Fehler Abbitte.,Nach dem Fehler leistete der Leiter öffentlich Abbitte.
abonnement-das-ein-abonnement-kundigen-kundigen,ein Abonnement kündigen,to cancel a subscription,I canceled my newspaper subscription yesterday.,Ich habe gestern mein Zeitungsabonnement gekündigt.,Ich habe gestern mein Zeitungsabonnement gestellt.,Ich möchte mein altes Zeitungsabonnement kündigen.
abend-der-zu-abend-essen-essen,zu Abend essen,to have dinner,We had dinner at my aunt's house.,Wir haben bei meiner Tante zu Abend gegessen.,Wir haben bei meiner Tante zu Abend genommen.,Heute essen wir bei meiner Tante zu Abend.
abhilfe-die-abhilfe-schaffen-schaffen,Abhilfe schaffen,to remedy; to fix the problem,The new rule should fix the problem.,Die neue Regel soll Abhilfe schaffen.,Die neue Regel soll Abhilfe machen.,Ein zusätzliches Fenster soll im Klassenzimmer Abhilfe schaffen.
abkommen-das-ein-abkommen-treffen-mit-dat-treffen,ein Abkommen treffen mit+Dat.,to make an agreement,The two countries made an agreement.,Die beiden Länder trafen ein Abkommen.,Die beiden Länder stellten ein Abkommen.,Die beiden Länder trafen ein Abkommen über den Handel.
abmachung-die-eine-abmachung-treffen-mit-dat-treffen,eine Abmachung treffen mit+Dat.,to make an arrangement,We made an arrangement with the neighbors.,Wir trafen eine Abmachung mit den Nachbarn.,Wir machten eine Abmachung mit den Nachbarn.,Wir haben mit den Nachbarn eine Abmachung getroffen.
abneigung-die-eine-abneigung-haben-gegen-akk-haben,eine Abneigung haben gegen+Akk.,to have an aversion to,She has an aversion to loud noise.,Sie hat eine Abneigung gegen lauten Lärm.,Sie macht eine Abneigung gegen lauten Lärm.,Sie hat eine starke Abneigung gegen Lärm.
abstand-der-abstand-halten-halten,Abstand halten,to keep distance,Please keep distance at the bus stop.,Bitte halten Sie an der Haltestelle Abstand.,Bitte machen Sie an der Haltestelle Abstand.,Bitte halten Sie an der Haltestelle Abstand.
acht-die-sich-in-acht-nehmen-vor-dat-nehmen,sich in Acht nehmen vor+Dat.,to beware of,You should beware of icy roads.,Du solltest dich vor Glatteis in Acht nehmen.,Du solltest dich vor Glatteis in Acht machen.,Im Winter muss man sich vor Glatteis in Acht nehmen.
aktion-die-in-aktion-treten-treten,in Aktion treten,to take action,The team took action immediately.,Das Team trat sofort in Aktion.,Das Team machte sofort in Aktion.,Bei einem Notfall muss das Team sofort in Aktion treten.
akzeptanz-die-akzeptanz-gewinnen-gewinnen,Akzeptanz gewinnen,to gain acceptance,The new idea slowly gained acceptance.,Die neue Idee gewann langsam Akzeptanz.,Die neue Idee machte langsam Akzeptanz.,Die neue Idee gewann langsam Akzeptanz im Team.
alarm-der-alarm-geben-geben,Alarm geben,to raise the alarm,The neighbor raised the alarm when he saw smoke.,Der Nachbar gab Alarm als er Rauch sah.,Der Nachbar machte Alarm als er Rauch sah.,Der Nachbar gab Alarm als er Rauch sah.
alarm-der-alarm-auslosen-auslosen,Alarm auslösen,to trigger an alarm,The smoke triggered the alarm at night.,Der Rauch löste in der Nacht Alarm aus.,Der Rauch stellte in der Nacht Alarm aus.,Der Rauchmelder löste in der Nacht Alarm aus.
anfrage-die-eine-anfrage-stellen-stellen,eine Anfrage stellen,to make an inquiry,She made an inquiry at the city office.,Sie stellte beim Bürgeramt eine Anfrage.,Sie gab beim Bürgeramt eine Anfrage.,Ich stellte beim Bürgeramt eine Anfrage.
angebot-das-ein-angebot-abgeben-abgeben,ein Angebot abgeben,to make an offer,The company made a cheap offer.,Die Firma gab ein günstiges Angebot ab.,Die Firma stellte ein günstiges Angebot ab.,Die Firma gab ein günstiges Angebot ab.
angebot-das-jdm-ein-angebot-machen-machen,jdm. ein Angebot machen,to make someone an offer,The seller made us a good offer.,Der Verkäufer machte uns ein gutes Angebot.,Der Verkäufer gab uns ein gutes Angebot ab.,Der Verkäufer machte uns ein gutes Angebot.
angriff-der-etw-in-angriff-nehmen-nehmen,etw. in Angriff nehmen,to tackle something,After breakfast she tackled the housework.,Nach dem Frühstück nahm sie die Hausarbeit in Angriff.,Nach dem Frühstück stellte sie die Hausarbeit in Angriff.,Nach dem Frühstück nahm sie die Hausarbeit in Angriff.
angst-die-angst-bekommen-bekommen,Angst bekommen,to become afraid,The child became afraid because of the noise.,Das Kind bekam wegen des Geräusches Angst.,Das Kind machte wegen des Geräusches Angst.,Das Kind bekam bei dem lauten Geräusch Angst.
angst-die-angst-haben-vor-dat-haben,Angst haben vor+Dat.,to be afraid of,Many people are afraid of exams.,Viele Menschen haben Angst vor Prüfungen.,Viele Menschen machen Angst vor Prüfungen.,Viele Menschen haben Angst vor Prüfungen.
angst-die-jdm-angst-machen-machen,jdm. Angst machen,to frighten someone,The dark street frightened her.,Die dunkle Straße machte ihr Angst.,Die dunkle Straße hatte ihr Angst.,Die dunkle Straße machte ihr Angst.
anklage-die-anklage-erheben-gegen-akk-erheben,Anklage erheben gegen+Akk.,to bring charges against,The prosecutor brought charges against the driver.,Die Staatsanwaltschaft erhob Anklage gegen den Fahrer.,Die Staatsanwaltschaft stellte Anklage gegen den Fahrer.,Die Staatsanwaltschaft erhob Anklage gegen den Fahrer.
anlass-der-anlass-geben-zu-dat-geben,Anlass geben zu+Dat.,to give cause for,His behavior gave cause for criticism.,Sein Verhalten gab Anlass zu Kritik.,Sein Verhalten machte Anlass zu Kritik.,Sein Verhalten gab Anlass zu Kritik.
ansprache-die-eine-ansprache-halten-halten,eine Ansprache halten,to give a speech,The principal gave a short speech.,Die Direktorin hielt eine kurze Ansprache.,Die Direktorin machte eine kurze Ansprache.,Die Direktorin hielt eine kurze Ansprache.
antrag-der-den-einen-antrag-stellen-auf-akk-stellen,den / einen Antrag stellen auf+Akk.,to submit an application,We submitted an application for support.,Wir stellten einen Antrag auf Unterstützung.,Wir trafen einen Antrag auf Unterstützung.,Wir stellten einen Antrag auf Unterstützung.
antwort-die-die-eine-antwort-geben-geben,die / eine Antwort geben,to give an answer,The teacher gave a clear answer.,Die Lehrerin gab eine klare Antwort.,Die Lehrerin stellte eine klare Antwort.,Die Lehrerin gab eine klare Antwort.
anzahlung-die-eine-anzahlung-leisten-leisten,eine Anzahlung leisten,to make a deposit,We had to make a deposit for the trip.,Wir mussten für die Reise eine Anzahlung leisten.,Wir mussten für die Reise eine Anzahlung machen.,Für die Reise mussten wir eine Anzahlung leisten.
anzeige-die-anzeige-erstatten-erstatten,Anzeige erstatten,to file a police report,She filed a police report after the theft.,Sie erstattete nach dem Diebstahl Anzeige.,Sie machte nach dem Diebstahl Anzeige.,Nach dem Diebstahl erstattete sie Anzeige.
arbeit-die-die-arbeit-aufnehmen-aufnehmen,die Arbeit aufnehmen,to start work,The team started work again after the break.,Das Team nahm nach der Pause die Arbeit wieder auf.,Das Team stellte nach der Pause die Arbeit wieder auf.,Nach der Pause nahm das Team die Arbeit wieder auf.
arbeit-die-die-arbeit-einstellen-einstellen,die Arbeit einstellen,to stop work,The workers stopped work because of the storm.,Die Arbeiter stellten wegen des Sturms die Arbeit ein.,Die Arbeiter nahmen wegen des Sturms die Arbeit ein.,Wegen des Sturms mussten die Arbeiter die Arbeit einstellen.
atem-der-atem-holen-holen,Atem holen,to catch one's breath,After the run he had to catch his breath.,Nach dem Lauf musste er Atem holen.,Nach dem Lauf musste er Atem nehmen.,Nach dem Lauf musste er erst Atem holen.
atem-der-den-atem-anhalten-anhalten,den Atem anhalten,to hold one's breath,She held her breath while diving.,Beim Tauchen hielt sie den Atem an.,Beim Tauchen machte sie den Atem an.,Beim Tauchen hielt sie den Atem an.
auge-das-etw-im-auge-behalten-behalten,etw. im Auge behalten,to keep an eye on something,Please keep an eye on the appointment.,Bitte behalte den Termin im Auge.,Bitte halte den Termin im Auge.,Bitte behalte den Termin im Auge.
ausflug-der-einen-ausflug-machen-unternehmen-machen,einen Ausflug machen / unternehmen,to go on a trip,We went on a trip to the lake.,Wir machten einen Ausflug an den See.,Wir stellten einen Ausflug an den See.,Am Wochenende machen wir einen Ausflug an den See.
auskunft-die-jdm-auskunft-erteilen-geben-erteilen,jdm. Auskunft erteilen / geben,to give information,The employee gave me friendly information.,Die Mitarbeiterin gab mir freundlich Auskunft.,Die Mitarbeiterin machte mir freundlich Auskunft.,Die Mitarbeiterin gab mir freundlich Auskunft.
auswahl-die-eine-auswahl-treffen-treffen,eine Auswahl treffen,to make a selection,We made a selection of songs for the party.,Wir trafen eine Auswahl an Liedern für das Fest.,Wir machten eine Auswahl an Liedern für das Fest.,Für das Fest trafen wir eine Auswahl an Liedern.
bad-das-ein-bad-nehmen-nehmen,ein Bad nehmen,to take a bath,She took a warm bath after the long day.,Sie nahm nach dem langen Tag ein warmes Bad.,Sie machte nach dem langen Tag ein warmes Bad.,Nach dem langen Tag nahm sie ein warmes Bad.
bedeutung-die-bedeutung-haben-haben,Bedeutung haben,to be important,Punctuality is important at work.,Pünktlichkeit hat im Beruf große Bedeutung.,Pünktlichkeit macht im Beruf große Bedeutung.,Pünktlichkeit hat im Beruf große Bedeutung.
bedeutung-die-an-bedeutung-gewinnen-gewinnen,an Bedeutung gewinnen,to become more important,Online lessons are becoming more important.,Online-Unterricht gewinnt immer mehr an Bedeutung.,Online-Unterricht macht immer mehr an Bedeutung.,Online-Unterricht gewinnt immer mehr an Bedeutung.
bedingung-die-eine-bedingung-stellen-stellen,eine Bedingung stellen,to set a condition,The landlord set a clear condition.,Der Vermieter stellte eine klare Bedingung.,Der Vermieter gab eine klare Bedingung.,Der Vermieter stellte eine klare Bedingung.
bedingung-die-eine-bedingung-erfullen-erfullen,eine Bedingung erfüllen,to meet a condition,She met all conditions for the course.,Sie erfüllte alle Bedingungen für den Kurs.,Sie stellte alle Bedingungen für den Kurs.,Sie erfüllte alle Bedingungen für den Kurs.
befehl-der-einen-befehl-befolgen-befolgen,einen Befehl befolgen,to obey an order,The soldier had to obey the order.,Der Soldat musste den Befehl befolgen.,Der Soldat musste den Befehl geben.,Der Soldat musste den Befehl befolgen.
behauptung-die-eine-behauptung-aufstellen-aufstellen,eine Behauptung aufstellen,to make a claim,The journalist made a bold claim.,Der Journalist stellte eine gewagte Behauptung auf.,Der Journalist traf eine gewagte Behauptung auf.,Der Journalist stellte eine gewagte Behauptung auf.
