word,article,english,example
ab,,from; starting at,Die Fahrt kostet ab Hamburg 200 Euro.
abbiegen,,to turn,An der nächsten Kreuzung müssen Sie links abbiegen.
Abbildung,die,illustration,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet."
Abenteuer,das,adventure,Unser Urlaub war ein tolles Abenteuer.
abfahren,,to depart,Unser Zug ist pünktlich abgefahren.
Abfahrt,die,departure,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.
Abfall,der,waste,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.
Abfalleimer,der,trash can,Wirf das bitte in den Abfalleimer! Abgase aus Industrie und Haushalten verschmutzen die Luft.
abgeben,,to hand in; to drop off,Ich soll dieses Päckchen bei Herrn Müller abgeben.
abhängen,,to depend,Dieses Verb heißt 'abhängen'.
abhängig,,dependent,Gregor ist finanziell von seinen Eltern abhängig.
abheben,,to withdraw; to lift off,Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
abholen,,to pick up,Meine Freundin hat mich vom Bahnhof abgeholt.
abschreiben,,to copy,Er hat die Hausaufgaben von mir abgeschrieben.
Abitur,das,school-leaving exam,Meine Tochter hat gerade Abitur gemacht.
ablehnen,,to reject,"Er hat mein Angebot, ihm zu helfen, abgelehnt."
abmachen,,to agree; to arrange,"Wir hatten doch abgemacht, dass du die Getränke besorgst."
abnehmen,,to lose weight; to remove,Morgen können wir den Verband abnehmen.
abonnieren,,to subscribe,Diese Zeitschrift würde ich gerne abonnieren.
Abonnement,das,subscription,Ich habe das Abonnement gekündigt.
absagen,,to cancel,Ich übe das Verb 'absagen'.
Abschluss,der,degree; conclusion,Ein guter Schulabschluss ist sehr wichtig.
Abschnitt,der,section,Lesen Sie bitte den zweiten Abschnitt.
Absender,der,sender,Schicken Sie das Paket an den Absender zurück.
Absicht,die,intention,Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
absolut,,absolute; absolutely,"Was Sie da sagen, ist absolut falsch."
abstimmen,,to vote,Lasst uns über diesen Punkt abstimmen.
Abteilung,die,department,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
Abwart,der,add English meaning,Der Abwart ist ein nützliches Wort.
abwärts,,downward,Von dort führt der Weg abwärts ins Tal.
abwaschen,,to wash up,Ich muss noch das Geschirr abwaschen.
abwesend,,absent,Herr Huber ist bis zum April abwesend.
achten,,to pay attention,"Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen."
Achtung!,,add English meaning,"Achtung, hier endet die Straße!"
Adresse,die,address,Hast du schon meine neue Adresse?
ähnlich,,similar,Emilia ist in einer ganz ähnlichen Situation wie ich.
Ahnung,die,add English meaning,"Ich hatte keine Ahnung, dass du heute Geburtstag hast."
Aktion,die,add English meaning,Die Stadt sollte eine Aktion für Familien planen.
aktiv,,add English meaning,Ich bin sehr aktiv und mache viel Sport.
Aktivität,die,add English meaning,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
aktuell,,add English meaning,Umweltschutz ist ein aktuelles Thema.
akzeptieren,,add English meaning,Ich kann diese Bedingungen nicht akzeptieren.
Alarm,der,add English meaning,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
Alkohol,der,add English meaning,Du musst die Wunde mit Alkohol reinigen.
