noun,article,verb,phrase,english,example,category
Abbitte,die,leisten,Abbitte leisten,to apologize formally,Nach dem Streit musste der Mitarbeiter öffentlich Abbitte leisten.,extracted
Abbruch,der,vornehmen,einen Abbruch vornehmen,to demolish; to break off,Die Firma will den Abbruch des alten Hauses vornehmen.,extracted
Abbruch,der,erfordern,einen Abbruch erfordern,to require demolition; to require cancellation,Der starke Regen kann einen Abbruch der Veranstaltung erfordern.,extracted
Abbruch,der,tun,der Sache keinen Abbruch tun,to do no harm to something,Der kleine Fehler tut der Qualität keinen Abbruch.,extracted
Abend,der,verbringen,den / einen Abend verbringen,to spend the evening,Wir haben den Abend mit Freunden verbracht.,extracted
Abend,der,essen,zu Abend essen,to have dinner,Heute essen wir bei meiner Tante zu Abend.,extracted
Abfuhr,die,bekommen,eine Abfuhr bekommen / erhalten,to be rejected,Er bekam bei der Bewerbung leider eine Abfuhr.,extracted
Abfuhr,die,erteilen,jdm. eine Abfuhr erteilen,to reject someone,Die Firma erteilte dem Bewerber eine höfliche Abfuhr.,extracted
Abfuhr,die,holen,sich eine Abfuhr holen,to get rejected,Bei der Wohnungsbesichtigung holte sie sich eine Abfuhr.,extracted
Abhängigkeit,die,geraten,in Abhängigkeit geraten von+Dat.,to become dependent on,Viele Jugendliche geraten in Abhängigkeit von sozialen Medien.,extracted
Abhängigkeit,die,befinden,sich in Abhängigkeit befinden,to be dependent,Das kleine Unternehmen befindet sich in Abhängigkeit von einem Großkunden.,extracted
Abhängigkeit,die,führen,zu (einer) Abhängigkeit führen,to lead to dependence,Zu viel Hilfe kann manchmal zu einer Abhängigkeit führen.,extracted
Abhilfe,die,schaffen,Abhilfe schaffen,to remedy; to fix the problem,Ein zusätzliches Fenster soll im Klassenzimmer Abhilfe schaffen.,extracted
Abhilfe,die,sorgen,für Abhilfe sorgen,to provide a remedy,Die neue Regelung sorgt hoffentlich bald für Abhilfe.,extracted
Abkommen,das,treffen,ein Abkommen treffen mit+Dat.,to make an agreement,Die beiden Länder trafen ein Abkommen über den Handel.,extracted
Abkommen,das,schließen,ein Abkommen schließen mit+Dat.,to conclude an agreement,Die Stadt schloss ein Abkommen mit dem Verkehrsunternehmen.,extracted
Abkommen,das,aushandeln,ein Abkommen aushandeln,to negotiate an agreement,Die Partner haben lange ein neues Abkommen ausgehandelt.,extracted
Abkommen,das,unterzeichnen,ein Abkommen unterzeichnen,to sign an agreement,Am Freitag unterzeichneten beide Seiten das Abkommen.,extracted
Ablehnung,die,stoßen,auf Ablehnung stoßen bei+Dat.,to meet with rejection,Der Vorschlag stieß bei vielen Eltern auf Ablehnung.,extracted
Abmachung,die,treffen,eine Abmachung treffen mit+Dat.,to make an arrangement,Wir haben mit den Nachbarn eine Abmachung getroffen.,extracted
Abmachung,die,halten,sich an eine Abmachung halten,to keep to an agreement,Bitte halte dich an unsere Abmachung.,extracted
Abneigung,die,haben,eine Abneigung haben gegen+Akk.,to have an aversion to,Sie hat eine starke Abneigung gegen Lärm.,extracted
Abonnement,das,kündigen,ein Abonnement kündigen,to cancel a subscription,Ich möchte mein altes Zeitungsabonnement kündigen.,extracted
Abonnement,das,beziehen,etw. im Abonnement beziehen,to receive by subscription,Meine Eltern beziehen die Zeitschrift im Abonnement.,extracted
Abrede,die,stellen,etw. in Abrede stellen,to deny something,Der Politiker stellte die Vorwürfe in Abrede.,extracted
Absage,die,erteilen,jdm. eine Absage erteilen,to reject someone; to decline,Die Schule erteilte uns eine Absage für den Termin.,extracted
Absage,die,erhalten,eine Absage erhalten,to receive a rejection,Nach dem Vorstellungsgespräch erhielt er eine Absage.,extracted
Abscheu,die,hegen,eine Abscheu hegen,to feel disgust,Viele Menschen hegen eine Abscheu vor Gewalt.,extracted
Abschied,der,nehmen,Abschied nehmen von+Dat.,to say goodbye to,Am Bahnhof nahm sie Abschied von ihrer Familie.,extracted
Abschluss,der,bringen,etw. zum Abschluss bringen,to bring something to completion,Wir wollen das Projekt diese Woche zum Abschluss bringen.,extracted
Abschluss,der,kommen,zum Abschluss kommen,to come to an end,Die Verhandlungen kamen gestern zum Abschluss.,extracted
Abschluss,der,machen,(s)einen Abschluss machen,to graduate; to complete a degree,Mein Bruder macht nächstes Jahr seinen Abschluss.,extracted
Abseits,das,drängen,jdn. ins Abseits drängen,to push someone aside,Im Team darf man niemanden ins Abseits drängen.,idiom
Absicht,die,haben,die Absicht haben,to intend to,"Ich habe die Absicht, im Sommer Deutsch zu lernen.",extracted
Absicht,die,tun,etw. mit / ohne Absicht tun,to do something intentionally; unintentionally,Er hat die Tür nicht mit Absicht zugeschlagen.,extracted
Absprache,die,treffen,eine Absprache treffen mit+Dat.,to make an arrangement,Vor der Reise trafen wir eine Absprache mit den Freunden.,extracted
Abstand,der,halten,Abstand halten,to keep distance,Bitte halten Sie an der Haltestelle Abstand.,extracted
Abstand,der,nehmen,Abstand nehmen von+Dat.,to distance oneself from,Die Firma nahm von dem riskanten Plan Abstand.,extracted
Acht,die,nehmen,sich in Acht nehmen vor+Dat.,to beware of,Im Winter muss man sich vor Glatteis in Acht nehmen.,extracted
Achtung,die,zollen,jdm. Achtung zollen,to show respect to someone,Wir sollten den Helfern große Achtung zollen.,extracted
Ahnung,die,haben,(k)eine Ahnung haben von+Dat.,to have no idea about,Ich habe keine Ahnung von Autoreparaturen.,extracted
Akten,,legen,zu den Akten legen,to file away; to close a matter,Nach der Entscheidung legte der Anwalt den Fall zu den Akten.,extracted
Aktion,die,treten,in Aktion treten,to take action,Bei einem Notfall muss das Team sofort in Aktion treten.,extracted
Akzent,der,legen,einen Akzent legen auf+Akk.,to place emphasis on,Der Kurs legt einen Akzent auf das Sprechen.,extracted
Akzeptanz,die,gewinnen,Akzeptanz gewinnen,to gain acceptance,Die neue Idee gewann langsam Akzeptanz im Team.,extracted
Alarm,der,geben,Alarm geben,to raise the alarm,"Der Nachbar gab Alarm, als er Rauch sah.",extracted
Alarm,der,auslösen,Alarm auslösen,to trigger an alarm,Der Rauchmelder löste in der Nacht Alarm aus.,extracted
Amt,das,ausüben,ein Amt ausüben,to hold an office,Sie übt seit Jahren ein öffentliches Amt aus.,extracted
Amt,das,niederlegen,ein Amt niederlegen,to resign from office,Der Vorsitzende legte sein Amt überraschend nieder.,extracted
Anerkennung,die,finden,Anerkennung finden bei+Dat.,to gain recognition,Seine Arbeit fand bei den Kollegen Anerkennung.,extracted
Anfang,der,machen,den / einen Anfang machen mit+Dat.,to make a start,Wir sollten heute mit der Planung einen Anfang machen.,extracted
Anfrage,die,stellen,eine Anfrage stellen,to make an inquiry,Ich stellte beim Bürgeramt eine Anfrage.,extracted
Angebot,das,abgeben,ein Angebot abgeben,to make an offer,Die Firma gab ein günstiges Angebot ab.,extracted
Angebot,das,machen,jdm. ein Angebot machen,to make someone an offer,Der Verkäufer machte uns ein gutes Angebot.,extracted
Angriff,der,nehmen,etw. in Angriff nehmen,to tackle something,Nach dem Frühstück nahm sie die Hausarbeit in Angriff.,extracted
Angst,die,bekommen,Angst bekommen,to become afraid,Das Kind bekam bei dem lauten Geräusch Angst.,extracted
Angst,die,haben,Angst haben vor+Dat.,to be afraid of,Viele Menschen haben Angst vor Prüfungen.,extracted
Angst,die,machen,jdm. Angst machen,to frighten someone,Die dunkle Straße machte ihr Angst.,extracted
Anklage,die,erheben,Anklage erheben gegen+Akk.,to bring charges against,Die Staatsanwaltschaft erhob Anklage gegen den Fahrer.,extracted
Anklang,der,finden,Anklang finden,to be well received,Das neue Angebot fand bei den Schülern großen Anklang.,extracted
Anlass,der,geben,Anlass geben zu+Dat.,to give cause for,Sein Verhalten gab Anlass zu Kritik.,extracted
Anordnung,die,treffen,eine Anordnung treffen,to issue an order; to make an arrangement,Die Leitung traf eine neue Anordnung für den Eingang.,extracted
Ansprache,die,halten,eine Ansprache halten,to give a speech,Die Direktorin hielt eine kurze Ansprache.,extracted
Anspruch,der,erheben,Anspruch erheben auf+Akk.,to lay claim to,Der Kunde erhob Anspruch auf Ersatz.,extracted
Anspruch,der,nehmen,etw. / jdn. in Anspruch nehmen,to make use of; to take up,Die Beratung nahm viel Zeit in Anspruch.,extracted
Antrag,der,stellen,den / einen Antrag stellen auf+Akk.,to submit an application,Wir stellten einen Antrag auf Unterstützung.,extracted
Antwort,die,geben,die / eine Antwort geben,to give an answer,Die Lehrerin gab eine klare Antwort.,extracted
